"","x"
"1","Ohio State"
"2","Penn State"
"3","Michigan State"
"4","Michigan"
"5","Rutgers"
"6","Indiana"
"7","Maryland"
"8","Wisconsin"
"9","Northwestern"
"10","Iowa"
"11","Purdue"
"12","Nebraska"
"13","Minnesota"
"14","Illinois"
"15","Clemson"
"16","North Carolina State"
"17","Louisville"
"18","Wake Forest"
"19","Boston College"
"20","Florida State"
"21","Syracuse"
"22","Miami (FL)"
"23","Virginia Tech"
"24","Georgia Tech"
"25","Duke"
"26","Pitt"
"27","Virginia"
"28","North Carolina"
"29","Georgia"
"30","South Carolina"
"31","Kentucky"
"32","Missouri"
"33","Florida"
"34","Vanderbilt"
"35","Tennessee"
"36","Alabama"
"37","Auburn"
"38","LSU"
"39","Mississippi State"
"40","Texas A&M"
"41","Ole Miss"
"42","Arkansas"
"43","Oklahoma"
"44","Texas Christian"
"45","Oklahoma State"
"46","Iowa State"
"47","Kansas State"
"48","Texas"
"49","West Virginia"
"50","Texas Tech"
"51","Baylor"
"52","Kansas"
"53","Washington"
"54","Stanford"
"55","Washington State"
"56","Oregon"
"57","California"
"58","Oregon State"
"59","USC"
"60","Arizona State"
"61","Arizona"
"62","UCLA"
"63","Utah"
"64","Colorado"
